Genome_id	Length	Taxid	Species
GCA_000739475.1	992695	62088	Borreliella valaisiana
GCA_000739615.1	7795129	1396141	Haloferula sp. BvORR071
GCA_000739695.1	3475736	1333998	Tepidicaulis marinus
GCA_000739795.1	6795583	1218081	Paraburkholderia kururiensis subsp. thiooxydans NBRC 107107
GCA_000739895.2	4327402	1219050	Sphingomonas paucimobilis NBRC 13935
GCA_000739915.1	6432241	1220558	Paenibacillus chitinolyticus NBRC 15660
GCA_000739935.1	5293384	1220582	Rhizobium rubi NBRC 13261
GCA_000739995.1	3505986	1223521	Comamonas granuli NBRC 101663
GCA_000740015.1	4721754	1348635	Vibrio diazotrophicus NBRC 103148
GCA_000740055.1	1860394	1291743	Lactobacillus oryzae JCM 18671
GCA_000740785.1	3439591	1105367	Paenirhodobacter enshiensis
GCA_000740795.1	4128680	195105	Haematobacter massiliensis
GCA_000741135.1	2096123	35760	Bifidobacterium choerinum
GCA_000741165.1	3252147	1437608	Bifidobacterium biavatii DSM 23969
GCA_000741175.1	2887313	1437609	Bifidobacterium callitrichos DSM 23973
GCA_000741205.1	2004594	561180	Bifidobacterium gallicum DSM 20093 = LMG 11596
GCA_000741215.1	2160836	78344	Bifidobacterium gallinarum
GCA_000741255.1	1822476	1692	Bifidobacterium magnum
GCA_000741285.1	2170490	1437603	Bifidobacterium mongoliense DSM 21395
GCA_000741525.1	2052470	1437606	Bifidobacterium bohemicum DSM 22767
GCA_000741575.1	2531592	1688	Bifidobacterium cuniculi
GCA_000741645.1	1892860	1693	Bifidobacterium minimum
GCA_000741695.1	2847572	1437610	Bifidobacterium reuteri DSM 23975
GCA_000741705.1	2615078	218140	Bifidobacterium psychraerophilum
GCA_000741715.1	2787036	1437607	Bifidobacterium saguini DSM 23967
GCA_000741765.1	2164426	356829	Bifidobacterium tsurumiense
GCA_000741775.1	2790088	77635	Bifidobacterium subtile
GCA_000741785.1	2812864	762211	Bifidobacterium stellenboschense
GCA_000742475.1	1115609	1274402	Candidatus Hepatobacter penaei
GCA_000742675.1	4175060	1452	Bacillus atrophaeus
GCA_000742835.1	2485110	91604	Candidatus Paracaedibacter acanthamoebae
GCA_000743535.1	2977056	1121014	Arenimonas donghaensis DSM 18148 = HO3-R19
GCA_000743575.1	5052234	46914	Devosia riboflavina
GCA_000743635.1	2633009	1473546	Lysinibacillus sp. BF-4
GCA_000743705.1	4314497	985054	Ruegeria halocynthiae
GCA_000743715.1	3849771	1530186	Maribius sp. MOLA 401
GCA_000743945.1	1959069	1472345	Basilea psittacipulmonis
GCA_000744105.1	4514366	1392498	Maribacter forsetii DSM 18668
GCA_000744185.1	2352439	1449337	Carnobacterium funditum DSM 5970
GCA_000744225.1	8681761	1449347	Kitasatospora mediocidica KCTC 9733
GCA_000744255.1	2619222	1449336	Carnobacterium divergens DSM 20623
GCA_000744275.1	3959304	1249975	Gillisia sp. Hel_I_29
GCA_000744285.1	2662616	1449343	Carnobacterium pleistocenium FTR1
GCA_000744375.1	4041428	1449338	Carnobacterium gallinarum DSM 4847
GCA_000744415.1	2163552	1485545	Zetaproteobacteria bacterium TAG-1
GCA_000744435.1	1714776	944479	Hippea jasoniae
GCA_000744465.1	4980720	69395	Caulobacter henricii
GCA_000744505.1	7315509	492774	Rhizobium alamii
GCA_000744515.1	4895574	160791	Sphingomonas wittichii
GCA_000744555.1	5358002	143224	Zobellia uliginosa
GCA_000744655.1	9002860	981369	Streptacidiphilus rugosus AM-16
GCA_000744705.1	9915093	1449352	Streptacidiphilus albus JL83
GCA_000744735.1	2474654	1415778	Porticoccus hydrocarbonoclasticus MCTG13d
GCA_000744775.1	2934621	1382356	Thermorudis peleae
GCA_000744785.1	8272299	1449346	Kitasatospora azatica KCTC 9699
GCA_000744815.1	7806543	1449353	Streptacidiphilus oryzae TH49
GCA_000744825.1	2632867	1449342	Carnobacterium mobile DSM 4848
GCA_000744835.1	3790620	1131812	Flavobacterium sp. 83
GCA_000744875.1	2344434	90813	Thiomicrospira sp. Milos-T1
GCA_000744885.1	2160855	1449080	Thermus amyloliquefaciens
GCA_000744895.1	3174974	1479239	Porphyrobacter sp. HL-46
GCA_000744935.1	4266201	1540257	Clostridium sp. KNHs214
GCA_000744955.1	3881122	1415756	Oceanicola sp. MCTG156(1a)
GCA_000744995.1	2743966	1479238	Oceanicaulis sp. HL-87
GCA_000745065.1	2218114	1330700	Thermus caliditerrae
GCA_000745125.1	2518244	1449340	Carnobacterium jeotgali MS3
GCA_000745135.1	4191297	1411123	Rhizobiales bacterium YIM 77505
GCA_000745175.1	3169519	1540221	Deinococcus sp. YIM 77859
GCA_000745185.1	4424696	1250232	Muricauda sp. MAR_2010_75
GCA_000745265.1	5710276	1500894	Massilia sp. 9096
GCA_000745345.1	7819394	1449355	Streptomyces yeochonensis CN732
GCA_000745395.1	2766100	1158144	Thioalkalivibrio sp. ALJ1
GCA_000745425.1	4320537	231434	Beijerinckia mobilis
GCA_000745455.1	2172469	1150474	Mesoaciditoga lauensis cd-1655R = DSM 25116
GCA_000745475.1	5613335	1510531	Bosea sp. UNC402CLCol
GCA_000745545.1	5994497	69395	Caulobacter henricii
GCA_000745655.1	6518058	384	Rhizobium leguminosarum
GCA_000745725.1	7318924	359	Agrobacterium rhizogenes
GCA_000745735.1	7774528	359	Agrobacterium rhizogenes
GCA_000745835.1	6727093	1121106	Belnapia moabensis DSM 16746
GCA_000745855.1	6535173	1123504	Xenophilus azovorans DSM 13620
GCA_000745895.1	2609584	1123296	Stenoxybacter acetivorans DSM 19021
GCA_000745905.1	2928893	1121877	Ferrimicrobium acidiphilum DSM 19497
GCA_000745915.1	5078290	1121382	Deinococcus misasensis DSM 22328
GCA_000745955.1	2762031	1120980	Alysiella crassa DSM 2578
GCA_000745965.1	8177135	1121860	Edaphobacter aggregans DSM 19364
GCA_000745975.1	4466775	1121398	Desulfobacter vibrioformis DSM 8776
GCA_000746015.1	3724716	1408323	Lachnospiraceae bacterium MA2020
GCA_000746025.1	3649665	1449126	Clostridiales bacterium DRI-13
GCA_000746085.1	3971247	663610	Methylocapsa aurea
GCA_000746095.1	2441599	1485544	Ferriphaselus sp. R-1
GCA_000746135.1	4955847	1449045	Bacillus sp. UNC322MFChir4.1
GCA_000746155.1	2957066	1408309	Prevotella sp. FD3004
GCA_000746195.1	3111058	1449058	Microbacterium sp. UNCCL10
GCA_000746255.1	1687244	161156	Thermodesulfobacterium hydrogeniphilum
GCA_000746275.1	2608923	1495045	Thermopetrobacter sp. TC1
GCA_000746525.1	5764622	237609	Pseudomonas alkylphenolica
GCA_000746585.2	1917564	1528098	Rickettsiales bacterium Ac37b
GCA_000746645.1	4335793	470	Acinetobacter baumannii
GCA_000746845.1	3160033	1223410	Altibacter lentus
GCA_000746875.1	7337750	44252	Paenibacillus macerans
GCA_000747075.1	3114078	1384054	Arenimonas malthae CC-JY-1
GCA_000747155.1	3056622	1384056	Arenimonas metalli CF5-1
GCA_000747315.1	2328278	401472	Corynebacterium ureicelerivorans
GCA_000747345.1	3422674	1565991	Bacillus sp. X1(2014)
GCA_000747525.1	5329010	1538644	Sphingobacterium sp. ML3W
GCA_000750005.1	3457810	1430331	Geobacillus icigianus
GCA_000750535.1	1390397	759620	Weissella ceti
GCA_000750635.1	5388101	1462527	Oceanobacillus jeddahense
GCA_000750955.1	2969604	1437425	Criblamydia sequanensis CRIB-18
GCA_000751075.1	1453216	334545	Rickettsia tamurae
GCA_000751555.1	3196602	1347392	Anaerosalibacter massiliensis
GCA_000751675.1	4325182	1499683	Clostridium sp. CL-6
GCA_000751775.1	3707071	35841	Bacillus thermoamylovorans
GCA_000752035.1	4309569	1499680	Bacillus rubiinfantis
GCA_000752095.1	2931144	1504823	bacterium LF-3
GCA_000752215.1	3737722	1120746	bacterium MS4
GCA_000752395.1	4050101	1499685	Bacillus andreraoultii
GCA_000753355.1	3750216	1499689	Clostridium sp. LF2
GCA_000753715.1	2480276	435908	Idiomarina salinarum
GCA_000753735.1	2703110	1517416	Idiomarina atlantica
GCA_000753795.1	4215794	1515746	Shewanella mangrovi
GCA_000753815.1	1084158	1446495	Mycoplasma ovipneumoniae NM2010
GCA_000753865.1	4409819	1537994	Alteromonas sp. LOR
GCA_000754095.2	3359675	160660	Acidihalobacter prosperus
GCA_000754265.1	759425	186490	Candidatus Baumannia cicadellinicola
GCA_000754275.1	2271840	747	Pasteurella multocida
GCA_000755145.1	2800562	221027	Treponema putidum
GCA_000755305.1	2935762	319236	Nonlabens sediminis
GCA_000755385.1	5726473	990268	Vibrio maritimus
GCA_000755705.1	1878735	1541959	Candidatus Izimaplasma sp. HR1
GCA_000756305.1	7069859	1541065	Myxosarcina sp. GI1
GCA_000756615.1	6053498	44251	Paenibacillus durus
GCA_000756655.1	3629371	1177181	Alcanivorax jadensis T9
GCA_000756665.1	4132804	1177154	Alcanivorax nanhaiticus
GCA_000756715.2	2191063	1461582	Jeotgalicoccus saudimassiliensis
GCA_000756775.2	3673759	1499686	Pseudomonas saudiphocaensis
GCA_000756795.1	2858586	291985	Erythrobacter vulgaris
GCA_000756815.1	4387007	1034943	Legionella massiliensis
GCA_000757385.1	3490856	1453498	Flavobacterium aquatile LMG 4008
GCA_000757425.2	4413398	642227	Tatumella morbirosei
GCA_000757525.1	6385152	1532558	Rhizobium sp. YS-1r
GCA_000757605.1	2720405	244582	Candidatus Paracaedibacter symbiosus
GCA_000757725.1	4595883	1229276	Sphingobacterium deserti
GCA_000757785.1	5489680	61647	Pluralibacter gergoviae
GCA_000757825.1	4876443	158822	Cedecea neteri
GCA_000757905.1	2953863	1247024	Arsenophonus endosymbiont str. Hangzhou of Nilaparvata lugens
GCA_000758165.1	3532909	1480694	Spirochaeta lutea
GCA_000758685.1	5658798	169760	Paenibacillus stellifer
GCA_000758725.1	6812473	189426	Paenibacillus odorifer
GCA_000758825.1	1490259	1219585	Arcanobacterium sp. S3PF19
GCA_000758845.1	1839502	1284708	Tissierellia bacterium S7-1-4
GCA_000758865.1	3290672	1230730	Tissierellia bacterium S5-A11
GCA_000758905.1	1531433	1230734	Clostridiales bacterium S5-A14a
GCA_000758925.1	2838933	1284775	Prevotella sp. S7-1-8
GCA_000758965.1	3042317	1287475	Corynebacterium freneyi DNF00450
GCA_000758985.1	2476648	1401063	Pseudoglutamicibacter albus DNF00011
GCA_000759055.1	2227780	1401064	Corynebacterium tuscaniense DNF00037
GCA_000759345.1	3786651	1166948	Halomonas xinjiangensis
GCA_000759435.1	5483543	1547437	Hoeflea sp. BAL378
GCA_000759445.1	5647497	243924	Pseudomonas lutea
GCA_000759475.1	4327607	1076550	Pantoea rwandensis
GCA_000759535.1	4780403	157783	Pseudomonas cremoricolorata
GCA_000759675.1	6372252	86668	Bacillus niacini
GCA_000759695.1	5302980	487514	Mycobacterium kyorinense
GCA_000759715.1	2968736	1043493	Lysinimicrobium mangrovi
GCA_000759795.1	4374581	1115515	Escherichia vulneris NBRC 102420
GCA_000759855.1	1699937	59921	Prochlorococcus marinus str. MIT 9107
GCA_000759955.1	1672416	93057	Prochlorococcus marinus str. MIT 9201
GCA_000760175.1	1707342	1499498	Prochlorococcus sp. MIT 0601
GCA_000760215.1	1752482	1499500	Prochlorococcus sp. MIT 0603
GCA_000760695.2	11572263	1479485	Tolypothrix bouteillei VB521301
GCA_000760735.1	5947044	1051662	Rhodococcus fascians A44A
GCA_000761095.1	2423898	1156417	Caloranaerobacter azorensis H53214
GCA_000761155.1	4688635	216142	Pseudomonas rhizosphaerae
GCA_000761445.1	3379958	1543381	Oleiagrimonas soli
GCA_000761485.1	4953652	1522368	Modestobacter caceresii
GCA_000762845.1	2052667	425400	Helicobacter sp. MIT 01-6451
GCA_000762855.1	2455166	1548153	Campylobacter sp. MIT 97-5078
GCA_000762865.1	2797873	1287488	Prevotella sp. S7 MS 2
GCA_000762875.1	2922612	1548018	Helicobacter saguini
GCA_000763095.1	5359899	414996	Actinopolyspora erythraea
GCA_000763135.1	1905102	1677920	Helicobacter jaachi
GCA_000763295.1	4270334	1528106	Thalassospira australica
GCA_000763315.1	3441572	1329516	Thermoactinomyces daqus
GCA_000763375.1	3369357	450380	Microbacterium profundi
GCA_000763385.1	6320123	1229172	Leptolyngbya sp. KIOST-1
GCA_000763535.2	5732794	190893	Vibrio coralliilyticus
GCA_000763575.1	2397824	2325	Thermoanaerobacter kivui
GCA_000763765.1	2639435	2047	Rothia dentocariosa
GCA_000763785.1	3423189	1545044	Paracoccus sanguinis
GCA_000763805.1	3358707	690417	Paracoccus sphaerophysae
GCA_000763885.1	5500748	34007	Paracoccus versutus
GCA_000763905.1	4012851	376733	Paracoccus halophilus
GCA_000763945.1	3118428	1537715	Sphingopyxis sp. MWB1
GCA_000764025.1	3212303	1265313	Pseudohaliea rubra DSM 19751
GCA_000764165.1	4356826	1001240	Cryobacterium roopkundense
GCA_000764185.1	5723506	28229	Colwellia psychrerythraea
GCA_000764205.1	4582559	1535422	Thalassotalea sp. ND16A
GCA_000764495.1	3795776	1545442	Nitrincola sp. A-D6
GCA_000764535.1	4061902	1549858	Sphingomonas taxi
GCA_000764555.1	2015987	1547445	Francisella sp. FSC1006
GCA_000764755.1	4692319	221126	Algibacter lectus
GCA_000764775.1	3773436	504487	Jejuia pallidilutea
GCA_000765165.1	3850950	1487921	Clostridium sp. HMP27
GCA_000765215.1	3267429	1519438	Eubacterium sp. ER2
GCA_000765235.1	2729704	1519439	Oscillibacter sp. ER4
GCA_000765665.1	2010363	1548149	Helicobacter sp. MIT 05-5293
GCA_000765745.1	2114943	135569	Helicobacter apodemus
GCA_000765805.1	2353752	216	Helicobacter muridarum
GCA_000765905.1	2767028	50960	Helicobacter trogontum
GCA_000766805.1	3012752	1336803	Polaribacter sp. Hel1_33_49
GCA_000766865.1	3436956	1552123	Listeria booriae
GCA_000766945.1	5183709	1209072	Cellvibrio mixtus subsp. mixtus J3-8
GCA_000767055.1	2698995	1121358	Corynebacterium doosanense
GCA_000767135.1	3913703	1408250	Cellulomonas cellasea DSM 20118
GCA_000767165.1	3183361	1386082	Cellulomonas bogoriensis 69B4 = DSM 16987
GCA_000767175.1	3976246	947969	Cellulomonas carbonis T26
GCA_000767275.3	2237377	2423	Fervidobacterium islandicum
GCA_000767465.1	5457578	205844	Novosphingobium pentaromativorans
GCA_000767615.3	5389285	93220	Pandoraea pnomenusa
GCA_000768055.1	3826243	1329640	Spirochaeta odontotermitis
GCA_000768065.1	5020969	1538295	Aquabacterium sp. NJ1
GCA_000768315.1	4938305	1461694	Pseudooceanicola atlanticus
GCA_000768335.1	3085112	913325	Lysobacter arseniciresistens ZS79
GCA_000768345.1	3032117	1122185	Lysobacter concretionis Ko07 = DSM 16239
GCA_000768355.1	3275062	1385517	Lysobacter daejeonensis GH1-9
GCA_000768675.1	3561699	1385518	Knoellia flava TL1
GCA_000768685.1	3566056	1385521	Knoellia subterranea KCTC 19937
GCA_000768695.1	4087970	1385519	Knoellia aerolata DSM 18566
GCA_000768705.1	3987063	1385520	Knoellia sinensis KCTC 19936
GCA_000768855.1	2392483	1517682	Porphyromonadaceae bacterium COT-184 OH4590
GCA_000768875.1	1961776	1515613	Porphyromonas sp. COT-239 OH1446
GCA_000768955.1	2105287	393921	Porphyromonas crevioricanis
GCA_000769075.1	2293773	1515617	Porphyromonas sp. COT-290 OH3588
GCA_000769115.1	2202536	36875	Porphyromonas canoris
GCA_000769435.1	3219590	1300343	Dokdonia donghaensis DSW-1
GCA_000769915.1	3800758	1406840	Flavobacterium beibuense F44-8
GCA_000770305.1	4744408	796334	Erwinia oleae
GCA_000770585.1	3070855	1498499	Legionella norrlandica
GCA_000770635.1	4281464	1385514	Pontibacillus yanchengensis Y32
GCA_000770675.1	3872934	1385513	Pontibacillus chungwhensis BH030062
GCA_000770795.1	3274406	1300345	Lysobacter dokdonensis DS-58
GCA_000771745.2	2386081	276	Thermus filiformis
GCA_000772105.1	5540337	29498	Vibrio tubiashii
GCA_000772535.1	2610727	505317	Chelonobacter oris
GCA_000772915.1	1659203	1000562	Streptococcus phocae subsp. salmonis
GCA_000772945.1	4047197	1384049	Lysinibacillus manganicus DSM 26584
GCA_000772955.1	4017054	1384057	Lysinibacillus sinduriensis BLB-1 = JCM 15800
GCA_000772965.1	3999909	1211035	Lysinibacillus massiliensis 4400831 = CIP 108448 = CCUG 49529
GCA_000773015.1	4512819	1220589	Lysinibacillus odysseyi 34hs-1 = NBRC 100172
GCA_000773975.1	5749517	371042	Erwinia typographi
GCA_000775285.1	4331368	1497020	Neosynechococcus sphagnicola sy1
GCA_000775575.1	3310887	1541197	Planococcus sp. CAU13
GCA_000775615.1	3204236	1385512	Pontibacillus litoralis JSM 072002
GCA_000775775.1	2795381	1562701	bacterium endosymbiont of Mortierella elongata FMR23-6
GCA_000783305.1	5316652	1550091	Sphingobacteriaceae bacterium DW12
GCA_000784965.1	4967343	1484157	Pantoea sp. PSNIH2
GCA_000785105.2	2095860	1138822	Lactobacillus curieae
GCA_000785435.1	7263741	159450	Paraburkholderia sacchari
GCA_000785495.1	5637360	2045	Pimelobacter simplex
GCA_000785515.1	2188923	1304	Streptococcus salivarius
GCA_000785535.1	4593579	1494608	Arthrobacter sp. PAMC 25486
GCA_000785705.2	5172098	1538553	Methylomonas denitrificans
GCA_000785985.1	9489843	1869	Actinoplanes utahensis
GCA_000786195.1	3779802	136273	Kocuria polaris
GCA_000786205.1	3694812	1550073	Sphingomonas sp. 37zxx
GCA_000786575.1	2304821	1501391	Alistipes inops
GCA_000786645.1	3988138	1543706	Halobacillus sp. BBL2006
GCA_000786655.1	3066141	223184	Kocuria marina
GCA_000787385.1	5841040	1472719	Paenibacillus sp. P1XP2
GCA_000787395.1	2702377	2340	Solemya velum gill symbiont
GCA_000787795.1	9528734	235985	Streptacidiphilus jiangxiensis
GCA_000787835.1	8771919	411235	Streptacidiphilus melanogenes
GCA_000788295.1	1780580	32024	Campylobacter sputorum biovar sputorum
GCA_000789235.1	3953230	1380600	Flaviramulus ichthyoenteri Th78
GCA_000789395.1	3338630	1561	Clostridium baratii
GCA_000797445.1	4017534	1469557	Lacinutrix jangbogonensis
GCA_000797465.1	3633537	1484460	Psychroserpens jangbogonensis
GCA_000797495.1	7391415	180332	Robinsoniella peoriensis
GCA_000798815.1	4445493	1339253	Alistipes sp. ZOR0009
GCA_000798825.1	2236196	1339243	Carnobacterium sp. ZWU0011
GCA_000798955.1	1967154	1339252	Firmicutes bacterium ZOR0006
GCA_000799195.1	4629388	1500290	Chryseobacterium sp. YR460
GCA_000799285.1	3604039	1500280	Herbiconiux sp. YR403
GCA_000799305.1	6842168	1500261	Methylibium sp. CF059
GCA_000799385.1	3018951	1500279	Microbacterium sp. CF335
GCA_000799465.1	3842990	1250004	Psychroserpens sp. Hel_I_66
GCA_000799565.1	4031126	1249972	Cellulophaga sp. Hel_I_12
GCA_000800015.1	4947033	278961	Terriglobus sp. TAA 43
GCA_000800155.1	4501157	1500891	Luteibacter sp. 9133
GCA_000800295.1	1627009	33033	Parvimonas micra
GCA_000800395.1	3531443	1182571	Deinococcus swuensis
GCA_000800475.2	2032698	1694	Bifidobacterium pseudolongum
GCA_000800935.1	4937598	1339244	Methylobacterium sp. ZNC0032
GCA_000800955.1	3013087	1339234	Kocuria sp. ZOR0020
GCA_000801275.1	6322155	28173	Vibrio nigripulchritudo
GCA_000801295.1	2597759	1248727	endosymbiont of unidentified scaly snail isolate Monju
GCA_000801315.1	4360029	1385664	Hymenobacter sp. DG25B
GCA_000802225.1	5027021	1348853	Novosphingobium malaysiense
GCA_000802235.1	4416081	1338436	Sinomonas humi
GCA_000802245.2	7346075	1355015	Streptomyces pluripotens
GCA_000802305.1	4416601	1348253	Microbacterium mangrovi
GCA_000802385.1	3482341	1572751	Porphyrobacter mercurialis
GCA_000803065.1	5739859	1381597	Sphingomonas sp. ERG5
GCA_000803105.1	4138744	1501392	Coprobacter secundus
GCA_000803645.1	5202172	1515612	Sphingopyxis fribergensis
GCA_000805385.1	6265049	431269	Mycobacterium setense
GCA_000805675.1	2663401	38301	Corynebacterium minutissimum
GCA_000806225.2	2708758	1511746	Thermoanaerobacter sp. YS13
GCA_000806415.1	3748402	706570	Pseudomonas flexibilis
GCA_000807215.1	2927205	307486	Tepidimonas taiwanensis
GCA_000807255.1	4352101	1501	Clostridium pasteurianum
GCA_000807275.1	2692351	1267021	Frischella perrara
GCA_000807715.1	5837382	561184	Mameliella alba
GCA_000807855.2	6610326	915059	Flammeovirga pacifica
GCA_000807925.1	4885942	48936	Novosphingobium subterraneum
GCA_000812025.2	3805822	1221996	Bacillus thermotolerans
GCA_000812565.1	8065497	1382345	Flammeovirga sp. OC4
GCA_000812585.1	4089562	686831	Chromobacterium piscinae
GCA_000812665.2	4376120	1579316	Halocynthiibacter arcticus
GCA_000812685.1	3535512	1290553	Halocynthiibacter namhaensis
GCA_000812865.1	3261282	266749	Chryseobacterium jeonii
GCA_000812875.1	2345236	510955	Chryseobacterium solincola
GCA_000813145.1	4554266	1266765	Geobacter sp. OR-1
GCA_000813185.1	5361448	1206458	Novosphingobium sp. MBES04
GCA_000813345.1	2629984	1349789	Sulfurospirillum arsenophilum NBRC 109478
GCA_000813665.1	2530677	1478175	Neochlamydia sp. EPS4
GCA_000813765.1	3407832	172043	Brevundimonas nasdae
GCA_000813845.1	4328053	361575	Pseudarthrobacter phenanthrenivorans
GCA_000814025.1	4425579	1577905	Tateyamaria sp. ANG-S1
GCA_000814325.1	4183635	1463156	Flavihumibacter sp. ZG627
GCA_000814475.1	5410659	1349421	Flavihumibacter solisilvae
GCA_000814675.1	4532748	77608	Pseudoalteromonas distincta
GCA_000814685.1	3040550	1590596	Sphingobacterium sp. T2
GCA_000814825.1	1967093	1531429	Coriobacteriaceae bacterium 68-1-3
GCA_000815025.1	656901	325775	Coxiella endosymbiont of Amblyomma americanum
GCA_000815065.1	778866	2128	Mycoplasma flocculare
GCA_000815185.1	5006106	56458	Xanthomonas sacchari
GCA_000815225.1	1661527	594679	Allofrancisella guangzhouensis
GCA_000816085.1	2472129	1284	Staphylococcus hyicus
GCA_000816145.1	2165416	57487	Pseudothermotoga hypogea
GCA_000816185.1	1465081	260714	Campylobacter insulaenigrae
GCA_000816345.1	1517949	1031542	Campylobacter volucris
GCA_000816495.1	2899785	1353941	Acinetobacter harbinensis
GCA_000816565.1	3608439	1496689	Arthrobacter sp. L77
GCA_000816675.1	4742562	1418104	Clostridium argentinense CDC 2741
GCA_000816845.1	7311190	56730	Rhizobium gallicum
GCA_000817245.1	2210643	1202785	Methylacidiphilum kamchatkense Kam1
GCA_000817295.2	581916	1401651	Candidatus Riesia pediculischaeffi PTSU
GCA_000817775.1	8799693	1574623	Lyngbya confervoides BDU141951
GCA_000817955.1	3618700	345632	Geobacter pickeringii
GCA_000818035.1	2256647	495	Neisseria elongata
GCA_000818095.1	4119509	1508404	Jeotgalibacillus malaysiensis
GCA_000818195.1	9803944	1576605	Streptomyces sp. 150FB
GCA_000818395.1	5384605	709839	Noviherbaspirillum autotrophicum
GCA_000819445.1	2681312	1223514	Corynebacterium humireducens
GCA_000819545.1	7714110	40318	Streptomyces nodosus
GCA_000819565.1	4969388	1208324	Celeribacter indicus
GCA_000819865.1	4540059	649	Aeromonas eucrenophila
GCA_000820125.1	3987694	218936	Aeromonas simiae
GCA_000820205.1	4337245	29489	Aeromonas enteropelogenes
GCA_000820505.1	3839692	1121915	Geoalkalibacter ferrihydriticus DSM 17813
GCA_000820525.1	1771859	2138	Spiroplasma poulsonii
GCA_000820705.1	3560738	1325933	Clostridium polynesiense
GCA_000820725.1	2878449	1325934	Actinomyces polynesiensis
GCA_000820765.1	3098593	1211843	Candidatus Soleaferrea massiliensis AP7
GCA_000820845.2	3788560	454194	Pyrinomonas methylaliphatogenes
GCA_000821045.1	3375071	223900	Chromohalobacter japonicus
GCA_000821065.2	4608004	545501	Oceanobacillus oncorhynchi
GCA_000821085.1	4702581	1476857	Bacillus sp. B-jedd
GCA_000821105.1	4103924	42565	Halomonas salina
GCA_000821265.1	1970166	1499681	Collinsella sp. MS5
GCA_000824785.1	7140341	69974	Mesorhizobium plurifarium
GCA_000824825.1	6564160	1505932	Mesorhizobium sp. ORS3324
GCA_000825765.1	1414910	1242993	Ehrlichia minasensis
GCA_000826065.1	3211248	1522311	Tessaracoccus massiliensis
GCA_000826085.1	2934258	1522317	bacterium SIT5
GCA_000826105.1	4723534	522492	Pseudomonas massiliensis
GCA_000826125.1	3108079	394098	Bhargavaea cecembensis
GCA_000826145.1	2912426	334735	Sporosarcina koreensis
GCA_000826185.1	3692770	1231063	Microbacterium gorillae
GCA_000826525.1	3841955	1522310	Mobilicoccus sp. SIT2
GCA_000826645.1	3680502	325473	Psychroserpens mesophilus
GCA_000826655.1	3945764	943936	Psychroserpens damuponensis
GCA_000826685.1	5914311	183763	Streptomonospora alba
GCA_000827005.1	8384669	1888	Streptomyces albus
GCA_000827125.1	3717645	483547	Geoalkalibacter subterraneus
GCA_000827595.1	2492358	1400001	Necropsobacter massiliensis
GCA_000827695.1	2543164	1848903	Capnocytophaga canis
GCA_000828075.2	9468441	1245935	Tolypothrix campylonemoides VB511288
GCA_000828085.2	7893269	1233231	Scytonema tolypothrichoides VB-61278
GCA_000828125.2	1376743	1068590	Rickettsia asembonensis
GCA_000828475.1	3424964	1384459	Methyloceanibacter caenitepidi
GCA_000828515.1	754729	168169	Candidatus Ishikawaella capsulata
GCA_000828615.1	3153637	1076588	Thiolapillus brandeum
GCA_000828635.1	3802648	748811	Sulfuritalea hydrogenivorans
GCA_000828655.1	2014912	1508419	Thermotoga caldifontis
GCA_000828675.1	2187612	1508420	Thermotoga profunda
GCA_000828715.1	3811479	754409	Winogradskyella sp. PG-2
GCA_000828815.1	708439	1410383	Candidatus Tachikawaea gelatinosa
GCA_000828835.1	4810005	40754	Thioploca ingrica
GCA_000828855.1	693241	29554	Mycoplasma canadense
GCA_000828895.1	2574013	1458425	Comamonadaceae bacterium A1
GCA_000828915.1	2623236	1458426	Comamonadaceae bacterium B1
GCA_000828975.1	3276549	1469502	Burkholderiales bacterium GJ-E10
GCA_000829035.1	3017804	1597	Lactobacillus paracasei
GCA_000829195.1	3594618	98228	Bacillus sp. OxB-1
GCA_000829235.1	2794318	718217	cyanobacterium endosymbiont of Epithemia turgida
GCA_000829315.1	1250060	246273	Wolbachia endosymbiont of Cimex lectularius
GCA_000829395.1	2400586	1193095	Lactobacillus hokkaidonensis
GCA_000829415.1	6332373	1028989	Pseudomonas sp. StFLB209
GCA_000829435.1	3776953	889306	Jeotgalibacillus soli Cunha et al. 2012
GCA_000829455.1	6956550	1590651	Paenibacillus sp. VKM B-2647
GCA_000829465.1	4344717	1590652	Cohnella kolymensis
GCA_000829515.1	3650490	220754	Jeotgalibacillus campisalis
GCA_000829555.1	4063862	1455	Bacillus badius
GCA_000829675.1	3961794	632955	Acinetobacter rudis
GCA_000829755.1	2307885	1314958	Parachlamydiaceae bacterium HS-T3
GCA_000829905.1	2850586	1585974	Beduini massiliensis
GCA_000830005.1	9153777	362257	Streptomyces vietnamensis
GCA_000830885.1	1362151	61435	Dehalococcoides mccartyi
GCA_000830985.1	3975896	1420916	Marinobacter similis
GCA_000831005.1	4616532	1420917	Marinobacter salarius
GCA_000831385.1	2915920	930802	Nonlabens marinus
GCA_000831485.1	2086959	1346	Streptococcus iniae
GCA_000831645.3	2790548	1074467	Lactobacillus heilongjiangensis
GCA_000832015.1	4190841	679259	Gilvimarinus agarilyticus
GCA_000832075.1	3385516	1547597	Sanguibacteroides justesenii
GCA_000832305.1	8421483	68895	Cupriavidus basilensis
GCA_000832605.1	5637053	1405	Bacillus mycoides
GCA_000832905.1	3366995	1398	Bacillus coagulans
